Month,Insurance: ,death: ,Disease: ,Terrorism: ,crisis: ,Travel: ,Finance: ,Expense: ,Health: ,Risk: ,Price662,Price966,Price945,Price1019,Price1299,Price1336
2005-10,92,38,65,9,6,75,38,3,71,13,1.801,2.89,403.2,,,
2005-11,94,39,66,9,6,71,37,3,70,13,1.840909091,3.030681818,428.4,,,
2005-12,86,37,54,7,5,69,33,2,58,11,2.533823529,3.2225,455.41,,,
2006-01,100,36,56,6,5,89,37,3,69,11,2.989473684,3.332894737,463.0421053,,,
2006-02,97,37,61,7,5,83,38,3,70,12,3.631578947,2.971,486.61,,,
2006-03,98,35,62,7,6,83,40,3,69,12,3.819347826,3.454130435,499.3652174,,,
2006-04,94,36,62,7,6,82,37,3,66,12,3.703125,4.286764706,502.2764706,,,
2006-05,96,34,64,6,6,84,38,3,67,12,3.93125,4.57875,471.06,,,
2006-06,99,30,60,6,5,89,36,2,63,11,3.898809524,4.558333333,252.0952381,,,
2006-07,98,30,53,6,5,100,35,2,59,10,4.076904762,4.773571429,251.4095238,,,
2006-08,100,29,54,8,5,89,35,2,63,10,4.0835,5.693478261,249.7478261,,,
2006-09,93,47,57,8,5,75,36,2,65,10,4.16047619,6.001428571,251.4666667,,,
2006-10,91,35,58,6,5,72,37,2,67,11,3.474,6.498,250.53,,,
2006-11,90,34,58,6,5,69,36,2,65,11,3.09,7.551818182,259.3363636,,,
2006-12,78,35,48,5,4,66,31,2,53,9,3.083157895,8.688333333,261.2842105,,,
2007-01,96,35,53,5,4,87,37,3,67,10,3.089090909,9.362272727,262.3818182,,,
2007-02,91,35,53,5,4,81,37,3,64,10,3.122777778,9.33,269.8888889,,,
2007-03,90,34,55,5,5,79,38,3,64,11,3.257272727,8.593181818,264.1727273,,,
2007-04,90,34,55,6,5,76,37,3,62,11,3.874444444,9.82,277.4111111,,,
2007-05,90,34,60,6,5,78,38,3,63,11,3.971904762,10.18333333,282.552381,,,
2007-06,91,34,56,5,5,85,37,2,61,10,4.6905,13.119,287.94,,,
2007-07,94,31,51,5,4,93,36,2,59,9,4.395714286,17.51095238,295.1238095,,,
2007-08,91,31,52,4,5,82,38,2,60,9,4.363043478,17.94695652,291.5391304,,,
2007-09,85,33,56,5,6,71,38,2,62,10,4.488421053,19.89842105,305.2210526,,,
2007-10,86,34,58,6,6,68,37,3,65,11,4.44952381,24.66190476,330.9047619,,,
2007-11,84,34,58,6,7,64,37,3,62,11,4.200454545,21.94454545,331.2,,,
2007-12,72,34,47,5,6,62,31,2,52,9,4.186315789,22.07105263,318.3789474,,,
2008-01,88,36,52,5,6,80,38,3,64,10,4.243636364,18.75454545,291.5272727,,,
2008-02,85,33,54,5,6,76,36,3,63,10,4.255263158,18.36473684,293.8526316,,,
2008-03,82,33,55,5,7,74,38,3,61,10,4.016315789,17.93578947,286.5368421,,,
2008-04,85,34,59,5,9,71,38,3,63,11,3.666,19.06857143,297.6,,,
2008-05,84,35,64,5,8,73,36,3,60,11,3.613,22.635,298.92,,,
