Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,Indian stocks fall on Fed fears,Mainland manufacturing slows to seven-month low,Look beyond Buffett's tips when seeking best returns,Deng urged UK to press HSBC to stay in HK,How a handful of voters elect 30 lawmakers,Growth in new loans and money supply weakens,South Africa sparkle as experience comes to fore,Vietnam loosens bank stake rules,,,,,,,
00011,HANG%20SENG%20BANK,Loan growth boosts Hang Seng,Small MPF players fight tough battle to stay in the game,Yue Xiu may beef up its new purchase,Mixed views on impact of Qianhai-BVI deal,,,,,,,,,,,
00023,BANK%20OF%20E%20ASIA,BEA beats rivals with impressive financial results,BEA's China unit likely to stand out as growth driver,BEA earnings break record for fourth year,Regulation delay puts foreign banks in a spot,Investment banking fees drop 23pc in Asia,DBS snaps up private banking assets,JP Morgan's top China bankerto step down,DBS intalks for SocGen Asia unit,Lenders' exposures to mainland worry Fitch,Foreign banks eye gains from reforms,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Dah Sing taps market for cash after profit increases,A tale of getting kids hooked on books,Busy week for directors' inside trades,HK borrowers seen turning to shadow loans,BOCHK flags cut to dividend payout ratio,BEA's China unit likely to stand out as growth driver,OCBC-Wing Hang deal a question of price,High capital buffer worries banks,,,,,,,
00626,PUBLIC%20FIN%20HOLD,Fossil of fish shows sea-land transition,Watchdog brings out little guns to burnish image,Russian spy's death ordered to be revisited,Obama plans changes to collection of phone records,Hutchison deal for Peak home on hold,UK plans to hold corporations to account for crimes of staff,,,,,,,,,
00939,CCB,Investors hit as coal mine defaults on trust product,Lai Sun eyes hotels amid rise in visitors,AAC pins growth hopes on broader product line,Fund houses to boost HK offerings,Beijing to leave action on prices to local authorities,SHKP low winning bid points to falling prices,Lenders dim hopes of home ownership,Payout growth at HK firms loses momentum,Interest income boosts CCB profit 11pc,,,,,,
00998,CITIC%20BANK,Local brains behind Citic Pacific buyout,Citic's bad loan writeoff a sign of system strain,Battle over deposits comes early for HK,Asking for a thing at the right time pays off for Citic Group ,PBOC halt to virtual cards hits Tencent,Citic deal sets scene for reform of SOEs,Lenders see credit threat on earnings,Guard strike disrupts deliveries of banknotes ,Construction Bank eyes preference share issue,,,,,,
01111,CHONG%20HING%20BANK,Yue Xiu may beef up its new purchase,OCBC extends deadline for Wing Hang Bank deal,Yue Xiu keen on further expansion,Lenders' exposures to mainland worry Fitch,Chong Hing out to play catch up,Wing Hang net rises 21.3pc to record,Wing Hang confirms talks on takeover,Dah Sing taps market for cash after profit increases,OCBC-Wing Hang deal a question of price,China exposure a double-edged sword for lenders,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
01288,ABC,White House says it can't gag Jimmy Kimmel,Gentlemen's agreement,Nasa joins row over Beyonce's new song,Anti-racist jibe rebounds on comic,,,,,,,,,,,
01398,ICBC,"ICBC profit upon better fees, high margins",ICBC bailout of trust product seen as unlikely,Troubled shadow bank product tests no-default policy,New players move into commodities trading,ICBC buys 60 pc of Standard Bank unit,Refusal raises spectre of wave of defaults,Fugitive tied to offshore companies,Trust product fate hangs in balance as default looms,Deal struck to avert trust default,,,,,,
01551,GRCB,,,,,,,,,,,,,,,
01578,BANK%20OF%20TIANJIN,ANZ eyes Asian assets to expand in region,New push for capital market reforms ,Land deals for warehouses grow,Redco aims to raise HK$1 b to drive growth,Guangdong seeks to attract HK lenders,Alibaba conjures up 'fantasy' returns with fund product,Consumer credit still struggling despite promise,Shanghai mayor sees room for all trade zones,Failed buyout bid takes shine off Glorious shares,Financing rules of developers loosened,,,,,
01658,PSBC,,,,,,,,,,,,,,,
01963,BCQ,,,,,,,,,,,,,,,
01988,MINSHENG%20BANK,Minsheng uses aircraft business to expand overseas,OCBC falls on fears over Wing Hang purchase price,Wing Hang sale edges closer in OCBC move,High rents force branches to quit street-level space,E-commerce operators add banking to basket,SAP snaps back with 'outstanding' mainland growth,Mainland banks drop below book value,"Chinese exports tumble, raising slowdown fears",,,,,,,
02016,CZBANK,,,,,,,,,,,,,,,
02066,SHENGJINGBANK,,,,,,,,,,,,,,,
02356,DAHSING%20BANKING,,,,,,,,,,,,,,,
02388,BOC%20HONG%20KONG,BOCHK fends off new competition in yuan trading,London challenges HK with BOC's yuan bond,Disgruntled HSBC brokers flee to Chinese banks,Local brains behind Citic Pacific buyout,"CIC, BOC promote key financial officials",Meat maker flexes its muscles in US$6b IPO,Investors take up US$510m of Harbin Bank's IPO,BOC reaps from rise in interest margins,Merchants Securities eyes top 10 spot in HK,,,,,,
02888,STANCHART,StanChart poised for slowing growth,Madoff victim claims US$1.17m from bank,Shake-up sparks sell-off in StanChart,StanChart revamp 'positive' for stock,StanChart loses profit momentum,StanChart's HK consumer finance unit up for sale,,,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,"Wen's gone, Wu's not. So what matters more than integrity?",Harbin Bank set to lead IPO rush,HK allure holds for mainland IPO firms,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,"Moss regrown after 1,500 years under Antarctic ice",Power play,,,,,,,,,,,,,
03988,BANK%20OF%20CHINA,China and UK in talks over London yuan clearing bank,London challenges HK with BOC's yuan bond,Lender on target with 14.5pc net jump,BOCHK fends off new competition in yuan trading,BOCHK flags cut to dividend payout ratio,BOC's Petrobras ties emerge with US$8.5b bond sale,Bank's reform proposals were to 'encourage' staff,Asian banks to give bonus surprise,Shadow banking poses dilemmaon the mainland,Construction Bank eyes preference share issue,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,Harbin Bank set to lead IPO rush,City lender sets share price near low end,Investors take up US$510m of Harbin Bank's IPO,Investors shun mainland IPOs on credit fears,Mainland reforms drive deals offshore,Mainland housing curbs begin to bite,Sun sea & cement,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
