Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
00005,HSBC%20HOLDINGS,"HSBC to cut 14,000 staff worldwide in cost-cutting push",New York sues HSBC for breaking foreclosure law,"HSBC, Standard Chartered sell yuan bonds in Singapore",Goldman Sachs to lend US$500m to Alibaba ahead of expected IPO,Everbright to double size of Hong Kong share sale,Bad loans rise sharply in Shanghai bank sector,HSBC eyes sell-off of other Chinese assets,"Exco has been losing power and authority since handover, says Legco chief Tsang",HSBC continues China banking divorce,Customers say HSBC has turned the clock back 20 years,,,,,
00011,HANG%20SENG%20BANK,Hang Seng Bank&#039;s Margaret Leung against quota for female directors,Institutions back huge fee rise for Hang Seng board,"Many happy yuan returns, Hang Seng",Hang Seng expects drop in new mortgage loans,"Hacked e-mail led to bank transfer of US$90,000, businessman&#039;s writ claims",HSBC customer confusion continues,Elderly couple go on trial over US$500m of bank drafts,Hong Kong responds generously after latest Sichuan earthquake,Soaring Hong Kong rents spur office buying rush,BOCHK set to offer transactions via mobile,,,,,
00023,BANK%20OF%20E%20ASIA,Bank of East Asia gives branches a makeover to attract younger clients,How banks fare on investment advice,Bank of East Asia sues Rafael Hui over alleged debts,"Rafael Hui paying back debt in batches, BEA chief says",Asia&#039;s private banks stripped bare,CCB rules out lay-offs in shuffle,China frees Tibetan activist and jails Guangdong cult member ,"UBS sponsors Art Basel Hong Kong as finance, culture intersect in Asia",Julius Bär eyes Asian clients after Bank of America Merrill Lynch acquisition,Big bank battle is on the cards,,,,,
00416,BANKOFJINZHOU,,,,,,,,,,,,,,,
00440,DAH%20SING,Hong Kong&#039;s Wing Lung Bank raises mortgage rate 0.25pc to 2.4pc,Lenders boost deposit rates to attract funds,Hong Kong home sales sink but worst still to come ,"525,000 subscribers flock to iBonds",Grabbing a cab can put you on a road to ruin,Chong Hing Bank shares surge after report says controlling family may sell,Big bank battle is on the cards,Take advantage of cheap yen by shopping around,Dial M for money,,,,,,
00626,PUBLIC%20FIN%20HOLD,Qantas puts total ban on all shark fin,Cathay Pacific shark fin ban draws criticism,Petition aims to end Hong Kong&#039;s shark fin trade,Air Pacific accused of hypocrisy over shark fins cargo,Outsiders have clearer view of our city&#039;s true excellence,Goldman Sach&#039;s ICBC sale is good sign for China banks,The big money bails on Argentina- again,"Letters to the Editor, June 20, 2013","Letters to the Editor, May 19, 2013","Letters to the Editor, June 30, 2013",,,,,
00939,CCB,CCB rules out lay-offs in shuffle,Ex-CCB man takes control at Merchants Bank,Funds exit spurs finance groups to lower HSI targets,Reshuffle paves way for new BOC chief,"Tiger Asia was looking after its clients, not insider dealing","Hong Kong shares have best day in nearly six months, China banks rise",Profits rise at mainland China banks but headwinds hit growth,"China shares end lower as cash crunch worries linger, Hong Kong in tepid rebound","China shares end lower as cash crunch worries linger, Hong Kong in tepid rebound",Lai Sun readies HK$18b land war chest,,,,,
00998,CITIC%20BANK,Three-year suspension for agent who mis-sold ILAS products,Reshuffle paves way for new BOC chief,Bad loans rise sharply in Shanghai bank sector,Retail slice of yuan bonds in Hong Kong slashed,ICBC to start clearing yuan in Singapore from Monday,Bocom chairman to take control at policy bank,Profits rise at mainland China banks but headwinds hit growth,Bad loans swell as China economy slows,Buyers line up for third batch of low-risk bonds,Alibaba forms consortium to build 100b yuan logistics network,,,,,
01111,CHONG%20HING%20BANK,Chong Hing Bank shares surge after report says controlling family may sell,Tough times for business graduates,Hong Kong headmaster blames his bad English for defamation lawsuit,JD/MBA Double Degree Programme,Catholic principal guilty of slander,Cruise terminal set for rocky start,Bungling bank robber used fingers under his T-shirt in attempted stick-up,Banks cutting back on controversial ILAS sales,Bank chief probed over secret deals,Big bank battle is on the cards,,,,,
01216,ZYBANK,,,,,,,,,,,,,,,
