,Start,End,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,Senti
0,2004-06-01,2004-06-30,,Mixed fortunes for market debutants,Tencent warns of falling margins,Tencent soars as CSCL falls on investor valuation doubt,Mobile media listing frenzy opens Pandora;s box,Mobile media listing frenzy opens Pandora;s box,UPGRADES AND DOWNGRADES,Profit takers to mar IPOs; welcome,Shares gain as worries over credit costs ease,Ping An plays safe with mid-range IPO price,
1,2004-07-01,2004-07-31,New listings losing their appeal,Recruitment portal 51job eyes Nasdaq listing,Prices ease as property rally runs out of steam,,,,,,,,
2,2004-08-01,2004-08-31,SMS crackdown to hurt Tencent profits,SMS crackdown to hurt Tencent profits,,,,,,,,,
3,2004-09-01,2004-09-30,WHAT THE BROKER SAYS,Blue chips slip as Ivan revives energy worries,,,,,,,,,
4,2004-10-01,2004-10-31,China Power IPO price at top end,Venture funds seen pouring into China,Oil price falls bring out buyers as stocks surge,,,,,,,,
5,2004-11-01,2004-11-30,,,Tencent seeks earnings from games,Tencent seeks earnings from games,,,,ICQ seeks mainland partnership,NSFocus tracks down bugs for global computer giants,NSFocus tracks down bugs for global computer giants,
6,2004-12-01,2004-12-31,Tencent sees lower profit on China Mobile deal,Tencent sees lower profit,,,Naspers to take stake in ad firm,Beijing Media outlines TV programme,,,,,
7,2005-01-01,2005-01-31,,,,,,,,,,,
8,2005-02-01,2005-02-28,Cyber deal may spark shake-up,Stocks inch up listlessly as investors await cues,,,,,,,,,
9,2005-03-01,2005-03-31,Business digest,,,,,,,,,,
10,2005-04-01,2005-04-30,,,,,,,,,,,
11,2005-05-01,2005-05-31,,"Tencent shrugs off profit dip, global rival",,,,,,,,,
12,2005-06-01,2005-06-30,Services key to adoption of broadband TV,,,,,,,,,,
13,2005-07-01,2005-07-31,Mainland chat service wants users; real names,,,,,,,,,,
14,2005-08-01,2005-08-31,Tencent seeks to cash in on boom,,,,,,,,,,
15,2005-09-01,2005-09-30,WHAT THE BROKER SAID,Online operator marches with the penguin,Pirates of the PRD,China Net heroes slate Wall Street,China Net heroes slate Wall Street,,,,,,
16,2005-10-01,2005-10-31,,,,,,,,,,,
17,2005-11-01,2005-11-30,Tencent claims it will not sell out,Mainland internet provider to raise rates on claims its hits are up,,,,,,Weblogs blossom as the mainland logs on,,,
18,2005-12-01,2005-12-31,Newspaper staff strike over reshuffle,"Shanda prefers free over fee, but rivals not game","Shanda prefers free over fee, but rivals not game",Music-sharing sings a different tune,,,,,,,
19,2006-01-01,2006-01-31,China grapples with Web 2.0 era,,,,,,,,,,
20,2006-02-01,2006-02-28,China internet firms eye up to US$1b in offerings,US draft bill targets China censorship,,,,,,,,,
21,2006-03-01,2006-03-31,Tencent bets on internet as mobile income falls,,,Appointments,,,,,,,
22,2006-04-01,2006-04-30,,,,,,,,,,,
23,2006-05-01,2006-05-31,Tencent net profit up 157pc on games surge,Microsoft and China.com look to team up,,Alliance set to drive China gaming,,,,Yahoo must take responsibility for jeopardising citizens,Mainland hedge fund blazes path into future,,
24,2006-06-01,2006-06-30,Local firms appeal more to graduates,Dotcoms take on bigger rival with free auction service,Top stock pickers ride wave of mainland boom,Jack of diamonds,,,,,,,
25,2006-07-01,2006-07-31,Technology Digest,,,,,,,,,,
26,2006-08-01,2006-08-31,,,Value-added services lift Tencent profit 43.3pc,,,,,,,,
27,2006-09-01,2006-09-30,EBay China in talks on merger with Tom Online,Taobao looks beyond fees for growth,China Mobile to scrap free trial,Online spoofs now part of mainstream,,,,,,,
28,2006-10-01,2006-10-31,Tech digest,EBay vows long-term play in China,,,,,,,,,
29,2006-11-01,2006-11-30,Tencent profits surge 263pc,Corrections; clarifications,,,Virtual coin makes its mark on the real world,,,,"Ecology damage severe, say 95pc in online survey",Hugging the profit motive,
30,2006-12-01,2006-12-31,Tencent nears mobile chat deadline,Tencent nears mobile chat deadline,EBay deal buoys Tom Online,,,,,,,,
31,2007-01-01,2007-01-31,Tencent gets message to open up QQ platform,More state backing a mixed blessing for Net,More state backing a mixed blessing for Net,,,,,,,,
32,2007-02-01,2007-02-28,Sina profit drops 15pc as wireless sales slide,Baidu tempers profit rise with warning,,,,,,,,,
33,2007-03-01,2007-03-31,,Slump in online games casts shadow on Tencent;s success,,,,,,,,,
34,2007-04-01,2007-04-30,Taobao carries on with QQ coins,Curbs will not affect gaming shares,Technology digest,,,,,,,,
35,2007-05-01,2007-05-31,Virtual currency helps Tencent increase sales,"Tencent focuses on advertising, online games",Investors pounce on new MSCI members,Results,Results,Baidu captures lead in online advertising,China leads in smart phone sales for Nokia,,,,
36,2007-06-01,2007-06-30,Kingsoft seeks to raise US$100m in initial offering,Google helps Sina search for mainland solutions,,,,,,,,,
37,2007-07-01,2007-07-31,Rivals unite to challenge Sohu Olympic coverage,Alibaba.com to raise US$1b from HK initial public offering,Online gamers find ways to beat new curbs,,,,,,,,
38,2007-08-01,2007-08-31,Tencent profit rises 25 per cent on soaring sales,Results,Results,Sohu puts 20pc drop for quarter down to costs,TVB;s mainland agent accuses Net firm of copyright violation,Gambling Man,,,,,
39,2007-09-01,2007-09-30,Kingsoft gears up for expansion as it seeks to raise up to HK$768m,,,,,,,,,,
40,2007-10-01,2007-10-31,,Alibaba to sell mostly existing shares in IPO,A crazy English man?,Alibaba forecasts its net profit to double,,,,,,,
