Month,WangZheRongYao_in_Chinese,D_WangZheRongYao,WeiXin_in_Chinese,D_WeiXin,Mobile game,D_Mobile,communication,D-communication,time,Price,D_Price,Predict,,,,,,,,,,,
2004-06,0,8.448835404,0,7.501242236,26,-8.314518634,85,14.51583851,1,0.77,51.69257156,-15.71543508,,Coefficients,,,,,,,,,
2004-07,0,8.283755713,0,7.184559944,27,-7.577150475,79,8.782620415,2,0.735,50.16854126,-21.53937093,Intercept,-87.1506172,,,,,,,,,
2004-08,0,8.118676023,0,6.867877651,28,-6.839782316,78,8.04940232,3,0.76,48.70451096,-21.80471744,WangZheRongYao_in_Chinese,1.227960587,,,,,,,,,
2004-09,0,7.953596332,0,6.551195359,27,-8.102414157,92,22.31618423,4,0.92,47.37548065,-3.481719316,WeiXin_in_Chinese,0.09914431631,,,,,,,,,
2004-10,0,7.788516641,0,6.234513067,28,-7.365045998,91,21.58296613,5,1.18,46.14645035,-3.74706583,Mobile game,-0.9562883177,,,,,,,,,
2004-11,0,7.623436951,0,5.917830775,27,-8.627677839,88,18.84974804,6,0.925,44.40242005,-4.323271442,communication,1.111717867,,,,,,,,,
2004-12,0,7.45835726,0,5.601148482,29,-6.89030968,77,8.116529943,7,0.91,42.89838975,-16.66208495,time,1.802659671,,,,,,,,,
2005-01,0,7.293277569,0,5.28446619,30,-6.152941521,83,14.38331185,8,1.02,41.51935945,-9.145406389,,,,,,,,,,,
2005-02,0,7.128197879,0,4.967783898,29,-7.415573362,88,19.65009375,9,1.13,40.14032915,-0.8278690645,,,,,,,,,,,
2005-03,0,6.963118188,0,4.651101606,27,-9.678205203,87,18.91687566,10,1.08,38.60129884,1.775649375,,,,,,,,,,,
2005-04,0,6.798038498,0,4.334419313,26,-10.94083704,83,15.18365756,11,1.11,37.14226854,0.08772589513,,,,,,,,,,,
2005-05,0,6.632958807,0,4.017737021,27,-10.20346889,79,11.45043947,12,1.18,35.72323824,-3.51277422,,,,,,,,,,,
2005-06,0,6.467879116,0,3.701054729,30,-7.466100727,73,5.717221376,13,1.22,34.27420794,-11.24928671,,,,,,,,,,,
2005-07,0,6.302799426,0,3.384372436,29,-8.728732568,65,-2.015996719,14,1.5,33.06517764,-17.38408165,,,,,,,,,,,
2005-08,0,6.137719735,0,3.067690144,31,-6.991364409,67,0.2507851869,15,1.89,31.96614734,-15.27056288,,,,,,,,,,,
2005-09,0,5.972640045,0,2.751007852,27,-11.25399625,76,9.517567092,16,1.61,30.19711703,0.3627108628,,Detreand,,,,,,,,,
2005-10,0,5.807560354,0,2.43432556,28,-10.51662809,77,10.784349,17,1.57,28.66808673,2.320800083,,Price,Coefficients,Wangzhe,Coefficients,Weixin,Coefficients,Mobile,Coefficients,Communication,Coefficients
2005-11,0,5.642480663,0,2.117643267,27,-11.77925993,76,10.0511309,18,1.66,27.26905643,3.968030205,,Intercept,-52.41160186,Intercept,-8.613915094,Intercept,-7.817924528,Intercept,34.05188679,Intercept,70.7509434
2005-12,0,5.477400973,0,1.800960975,31,-8.041891773,63,-2.682087191,19,2,26.12002613,-12.50679567,,time,1.489030302,time,0.1650796906,time,0.3166822923,time,0.2626318411,time,-0.2667819055
2006-01,0,5.312321282,0,1.484278683,30,-9.304523614,68,2.584694715,20,2.1,24.73099583,-4.189258343,,,,,,,,,,,
2006-02,0,5.147241591,0,1.16759639,28,-11.56715546,71,5.85147662,21,2.61,23.75196553,2.861131565,,,,,,,,,,,
2006-03,0,4.982161901,0,0.8509140982,29,-10.8297873,73,8.118258526,22,3.13,22.78293522,5.930938652,,,,,,,,,,,
2006-04,0,4.81708221,0,0.5342318059,30,-10.09241914,67,2.385040431,23,3.36,21.52390492,0.1070028029,,,,,,,,,,,
2006-05,0,4.65200252,0,0.2175495137,31,-9.355050979,66,1.651822337,24,3.28,19.95487462,-0.1583437109,,,,,,,,,,,
2006-06,0,4.486922829,0,-0.09913277862,30,-10.61768282,60,-4.081395758,25,2.968,18.15384432,-4.069702925,,,,,,,,,,,
2006-07,0,4.321843138,0,-0.4158150709,31,-9.880314661,53,-10.81461385,26,3.4,17.09681402,-11.00535664,,,,,,,,,,,
2006-08,0,4.156763448,0,-0.7324973632,31,-10.1429465,53,-10.54783195,27,3.588,15.79578372,-9.202696971,,,,,,,,,,,
2006-09,0,3.991683757,0,-1.049179655,32,-9.405578343,63,-0.281050041,28,3.728,14.44675341,2.760853054,,,,,,,,,,,
2006-10,0,3.826604067,0,-1.365861948,30,-11.66821018,63,-0.01426813547,29,4.3,13.52972311,6.476089361,,,,,,,,,,,
2006-11,0,3.661524376,0,-1.68254424,31,-10.93084203,63,0.2525137701,30,5.54,13.28069281,7.322460714,,,,,,,,,,,
2006-12,0,3.496444685,0,-1.999226532,34,-8.193473866,51,-11.48070432,31,6.07,12.32166251,-7.084358974,,,,,,,,,,,
2007-01,0,3.331364995,0,-2.315908825,34,-8.456105707,59,-3.213922419,32,5.31,10.07263221,3.612043635,,,,,,,,,,,
2007-02,0,3.166285304,0,-2.632591117,31,-11.71873755,59,-2.947140513,33,5.1,8.373601905,8.283568259,,,,,,,,,,,
2007-03,0,3.001205614,0,-2.949273409,31,-11.98136939,60,-1.680358608,34,5.37,7.154571604,11.1979458,,,,,,,,,,,
2007-04,0,2.836125923,0,-3.265955701,32,-11.24400123,58,-3.413576702,35,6.74,7.035541302,9.820881416,,,,,,,,,,,
2007-05,0,2.671046232,0,-3.582637994,35,-8.506633072,58,-3.146794797,36,6.29,5.096511,8.754676134,,,,,,,,,,,
2007-06,0,2.505966542,0,-3.899320286,35,-8.769264913,53,-7.880012891,37,7.24,4.557480699,4.998746469,,,,,,,,,,,
2007-07,0,2.340886851,0,-4.216002578,39,-5.031896754,50,-10.61323099,38,8.1,3.928450397,-0.3589007319,,,,,,,,,,,
